t,joy_throttle,joy_steering
6.527956962585449,-0.0,-0.0
6.579435348510742,-0.0,-0.0
6.629247188568115,-0.0,-0.0
6.679864883422852,-0.0,-0.0
6.779932498931885,-0.0,-0.0
6.829994440078735,-0.0,-0.0
6.8809545040130615,-0.0,-0.0
6.9320197105407715,-0.0,-0.0
6.9830193519592285,-0.0,-0.0
7.033304929733276,-0.0,-0.0
7.133855819702148,-0.0,-0.0
7.1438376903533936,-0.05880916491150856,-0.0
7.147208213806152,-0.10008946806192398,-0.0
7.151827812194824,-0.17439399659633636,-0.0
7.155205726623535,-0.24044248461723328,-0.0
7.1597373485565186,-0.24044248461723328,-0.0
7.1597607135772705,-0.28997883200645447,-0.0
7.16318678855896,-0.28997883200645447,-0.0
7.16319727897644,-0.3560273051261902,-0.0
7.16776704788208,-0.3560273051261902,-0.0
7.167802095413208,-0.43033185601234436,-0.0
7.171255826950073,-0.43033185601234436,-0.0
7.171273469924927,-0.4963803291320801,-0.0
7.175821781158447,-0.4963803291320801,-0.0
7.175837755203247,-0.5789409279823303,-0.0
7.179153680801392,-0.5789409279823303,-0.0
7.179164409637451,-0.6615015268325806,-0.0
7.183674573898315,-0.6615015268325806,-0.0
7.183687448501587,-0.7523182034492493,-0.0
7.19146466255188,-0.7523182034492493,-0.0
7.191484212875366,-0.8348788022994995,-0.0
7.194859266281128,-0.8348788022994995,-0.0
7.194877624511719,-1.0,-0.0
7.245989084243774,-1.0,-0.0
7.345983505249023,-1.0,-0.0
7.396764755249023,-1.0,-0.0
7.447718381881714,-1.0,-0.0
7.5472962856292725,-1.0,-0.0
7.635757207870483,-1.0,-0.0
7.735508680343628,-1.0,-0.0
7.835059881210327,-1.0,-0.0
7.885754346847534,-1.0,-0.0
7.985141754150391,-1.0,-0.0
8.035980463027954,-1.0,-0.0
8.087034940719604,-1.0,-0.0
8.137986183166504,-1.0,-0.0
8.18838906288147,-1.0,-0.0
8.287657499313354,-1.0,-0.0
8.387412548065186,-1.0,-0.0
8.438602209091187,-1.0,-0.0
8.538270473480225,-1.0,-0.0
8.63863468170166,-1.0,-0.0
8.738259077072144,-1.0,-0.0
8.788259983062744,-1.0,-0.0
8.838568210601807,-1.0,-0.0
8.93872880935669,-1.0,-0.0
9.038310289382935,-1.0,-0.0
9.088515043258667,-1.0,-0.0
9.18834924697876,-1.0,-0.0
9.28734278678894,-1.0,-0.0
9.387548446655273,-1.0,-0.0
9.438674926757812,-1.0,-0.0
9.538352489471436,-1.0,-0.0
9.588556289672852,-1.0,-0.0
9.638959884643555,-1.0,-0.0
9.675724983215332,-0.950463593006134,-0.0
9.679090738296509,-0.9256954193115234,-0.0
9.683549880981445,-0.9009272456169128,-0.0
9.691356658935547,-0.8596469759941101,-0.0
9.706919193267822,-0.8596469759941101,-0.0
9.706959009170532,0.3312912583351135,-0.0
9.711468696594238,0.07535341382026672,-0.0
9.714792728424072,-0.07532128691673279,-0.0
9.719386100769043,-0.0,-0.0
9.777356386184692,-0.0,-0.0
9.827548503875732,-0.0,-0.0
9.927025556564331,-0.0,-0.0
9.97738528251648,-0.0,-0.0
10.043817520141602,0.07535341382026672,-0.0
10.055242538452148,0.16617007553577423,-0.0
10.0597083568573,0.4551321566104889,-0.0
10.063116788864136,0.5707169771194458,-0.0
10.067612409591675,0.6945579051971436,-0.0
10.071048974990845,0.826654851436615,-0.0
10.07557725906372,0.9670078754425049,-0.0
10.078962326049805,1.0,-0.0
10.129575729370117,1.0,-0.0
10.229048728942871,1.0,-0.0
10.328137636184692,1.0,-0.0
10.347102642059326,1.0,-0.0
10.34712815284729,0.9587517976760864,-0.0
10.351681470870972,0.9587517976760864,-0.0
10.35170030593872,0.859679102897644,-0.0
10.359545707702637,0.859679102897644,-0.0
10.359569311141968,0.496412456035614,-0.0
10.36293911933899,0.29826703667640686,-0.0
10.375268697738647,0.29826703667640686,-0.0
10.375291347503662,-0.0,-0.0
10.438630104064941,-0.0,-0.0
10.538278341293335,-0.0,-0.0
10.638757944107056,-0.0,-0.0
10.688941955566406,-0.0,-0.0
10.739380836486816,-0.0,-0.0
10.789532661437988,-0.0,-0.0
10.839693069458008,-0.0,-0.0
10.939701795578003,-0.0,-0.0
10.989689111709595,-0.0,-0.0
